,DEVELOPER,PUBLISHER,BASE PRICE,Action,Adventure,Casual,Early Access,Free to Play,Indie,Massively Multiplayer,Movie,RPG,Racing,Simulation,Sports,Strategy,LAN Co-op,Online Co-op,Online PvP,Shared/Split Screen Co-op,Shared/Split Screen PvP,Single-player
0,Devdan Games,Conglomerate 5,0.0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1
1,Telltale Games,Telltale Games,49.99,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0
2,Mohawk Games,Stardock Entertainment,0.0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0
3,Robot Entertainment,Robot Entertainment,19.99,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1
4,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",0.0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1
5,Campfire Games,Campfire Games,0.0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
6,Spotted Kiwi Interactive,Spotted Kiwi Interactive,0.0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0
7,Forever Entertainment S. A.,Forever Entertainment S. A.,4.99,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1
8,Deck13 Hamburg,astragon Entertainment,0.99,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0
9,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",24.99,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0
10,Game-Labs,Game-Labs,49.99,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1
11,TARO,Gamera Games,0.0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1
12,Straight Back Games,Straight Back Games,24.99,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1
13,"TT Games,Feral Interactive (Mac)","Warner Bros. Interactive Entertainment,Feral Interactive (Mac)",0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
14,Code}{atch,Code}{atch,39.99,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0
15,InterAction studios,InterAction studios,29.99,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1
16,Petroglyph,Funcom,59.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0
17,"Nvizzio Creations,Meridian4",The Wall Productions Inc.,69.99,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
18,"Idea Factory,Compile Heart",Idea Factory International,19.99,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
19,Faerin Games,Faerin Games,0.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0
20,Spiders,Nacon,39.99,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
21,Alex Hall,Alex Hall,19.99,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
22,Naval Warfare Simulations,Slitherine Ltd.,0.99,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0
23,Siege Camp,Siege Camp,0.0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0
24,MUMO STUDIO,MUMO STUDIO,19.99,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0
25,Smartly Dressed Games,Smartly Dressed Games,16.99,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1
26,Zero Gravity,Zero Gravity,9.99,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
27,"BANDAI NAMCO Studio,SHIFT,QLOC",BANDAI NAMCO Entertainment,12.99,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0
28,First Watch Games,Hi-Rez Studios,3.99,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1
29,SANDLOT,D3PUBLISHER,0.0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1
30,Paradox Development Studio,Paradox Interactive,24.99,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1
31,Weird and Wry,Weird and Wry,11.99,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1
32,Robot Gentleman,Robot Gentleman,0.0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
33,Crystal Shard,Crystal Shard,39.99,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
34,DrinkBox Studios,DrinkBox Studios,0.0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0
35,"Flaming Fowl Studios,Saber Interactive",Twin Sails Interactive,0.0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1
36,Highwire Games,Victura,34.99,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0
37,万象皆春,万象皆春,19.99,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
38,Fatshark,Fatshark,0.0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0
39,Game in a Bottle,Armor Games Studios,22.99,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1
